=== RNN Grid Search Results ===

[RNN] hidden_dim=150, layers=2, dropout=0.0, bi=False -> val_acc=0.7540, val_loss=0.5524
[RNN] hidden_dim=300, layers=3, dropout=0.5, bi=False -> val_acc=0.7397, val_loss=0.5586
[RNN] hidden_dim=300, layers=3, dropout=0.5, bi=True -> val_acc=0.7150, val_loss=0.9573
[RNN] hidden_dim=300, layers=4, dropout=0.0, bi=False -> val_acc=0.7172, val_loss=0.6339
[RNN] hidden_dim=300, layers=4, dropout=0.0, bi=True -> val_acc=0.7309, val_loss=1.5929
[RNN] hidden_dim=300, layers=4, dropout=0.3, bi=False -> val_acc=0.7177, val_loss=0.6434
[RNN] hidden_dim=300, layers=4, dropout=0.3, bi=True -> val_acc=0.7304, val_loss=1.1559
[RNN] hidden_dim=300, layers=4, dropout=0.5, bi=False -> val_acc=0.7265, val_loss=0.5768
[RNN] hidden_dim=300, layers=4, dropout=0.5, bi=True -> val_acc=0.7435, val_loss=0.8569
[GRU] hidden_dim=150, layers=2, dropout=0.0, bi=False -> val_acc=0.7974, val_loss=0.4868
[GRU] hidden_dim=150, layers=2, dropout=0.0, bi=True -> val_acc=0.7727, val_loss=0.6294
[GRU] hidden_dim=150, layers=2, dropout=0.3, bi=False -> val_acc=0.8072, val_loss=0.4594
[GRU] hidden_dim=150, layers=2, dropout=0.3, bi=True -> val_acc=0.7754, val_loss=0.6044
[GRU] hidden_dim=150, layers=2, dropout=0.5, bi=False -> val_acc=0.8078, val_loss=0.4490
[GRU] hidden_dim=150, layers=2, dropout=0.5, bi=True -> val_acc=0.7781, val_loss=0.5915
[GRU] hidden_dim=150, layers=3, dropout=0.0, bi=False -> val_acc=0.7957, val_loss=0.5326
[GRU] hidden_dim=150, layers=3, dropout=0.0, bi=True -> val_acc=0.7721, val_loss=0.6543
[GRU] hidden_dim=150, layers=3, dropout=0.3, bi=False -> val_acc=0.8051, val_loss=0.4657
[GRU] hidden_dim=150, layers=3, dropout=0.3, bi=True -> val_acc=0.7556, val_loss=0.6248
[GRU] hidden_dim=150, layers=3, dropout=0.5, bi=False -> val_acc=0.7996, val_loss=0.4642
[GRU] hidden_dim=150, layers=3, dropout=0.5, bi=True -> val_acc=0.7710, val_loss=0.5747
[GRU] hidden_dim=150, layers=4, dropout=0.0, bi=False -> val_acc=0.8012, val_loss=0.4523
[GRU] hidden_dim=150, layers=4, dropout=0.0, bi=True -> val_acc=0.7853, val_loss=0.5890
[GRU] hidden_dim=150, layers=4, dropout=0.3, bi=False -> val_acc=0.8001, val_loss=0.4660
[GRU] hidden_dim=150, layers=4, dropout=0.3, bi=True -> val_acc=0.7930, val_loss=0.5358
[GRU] hidden_dim=150, layers=4, dropout=0.5, bi=False -> val_acc=0.8007, val_loss=0.4379
[GRU] hidden_dim=150, layers=4, dropout=0.5, bi=True -> val_acc=0.7880, val_loss=0.5419
[GRU] hidden_dim=200, layers=2, dropout=0.0, bi=False -> val_acc=0.8029, val_loss=0.4371
[GRU] hidden_dim=200, layers=2, dropout=0.0, bi=True -> val_acc=0.7727, val_loss=0.5563
[GRU] hidden_dim=200, layers=2, dropout=0.3, bi=False -> val_acc=0.8056, val_loss=0.4227
[GRU] hidden_dim=200, layers=2, dropout=0.3, bi=True -> val_acc=0.7727, val_loss=0.5295
[GRU] hidden_dim=200, layers=2, dropout=0.5, bi=False -> val_acc=0.7941, val_loss=0.4401
[GRU] hidden_dim=200, layers=2, dropout=0.5, bi=True -> val_acc=0.7781, val_loss=0.5149
[GRU] hidden_dim=200, layers=3, dropout=0.0, bi=False -> val_acc=0.8083, val_loss=0.4669
[GRU] hidden_dim=200, layers=3, dropout=0.0, bi=True -> val_acc=0.8012, val_loss=0.6928
[GRU] hidden_dim=200, layers=3, dropout=0.3, bi=False -> val_acc=0.8001, val_loss=0.4493
[GRU] hidden_dim=200, layers=3, dropout=0.3, bi=True -> val_acc=0.7941, val_loss=0.6024
[GRU] hidden_dim=200, layers=3, dropout=0.5, bi=False -> val_acc=0.7847, val_loss=0.4728
[GRU] hidden_dim=200, layers=3, dropout=0.5, bi=True -> val_acc=0.8001, val_loss=0.5676
[GRU] hidden_dim=200, layers=4, dropout=0.0, bi=False -> val_acc=0.8018, val_loss=0.5391
[GRU] hidden_dim=200, layers=4, dropout=0.0, bi=True -> val_acc=0.7941, val_loss=0.6928
[GRU] hidden_dim=200, layers=4, dropout=0.3, bi=False -> val_acc=0.7913, val_loss=0.5015
[GRU] hidden_dim=200, layers=4, dropout=0.3, bi=True -> val_acc=0.7831, val_loss=0.5843
[GRU] hidden_dim=200, layers=4, dropout=0.5, bi=False -> val_acc=0.7875, val_loss=0.5126
[GRU] hidden_dim=200, layers=4, dropout=0.5, bi=True -> val_acc=0.7957, val_loss=0.5797
[GRU] hidden_dim=300, layers=2, dropout=0.0, bi=False -> val_acc=0.7985, val_loss=0.5042
[GRU] hidden_dim=300, layers=2, dropout=0.0, bi=True -> val_acc=0.7727, val_loss=0.6690
[GRU] hidden_dim=300, layers=2, dropout=0.3, bi=False -> val_acc=0.8045, val_loss=0.4718
[GRU] hidden_dim=300, layers=2, dropout=0.3, bi=True -> val_acc=0.7710, val_loss=0.6465
[GRU] hidden_dim=300, layers=2, dropout=0.5, bi=False -> val_acc=0.8045, val_loss=0.4578
[GRU] hidden_dim=300, layers=2, dropout=0.5, bi=True -> val_acc=0.7864, val_loss=0.5801
[GRU] hidden_dim=300, layers=3, dropout=0.0, bi=False -> val_acc=0.7985, val_loss=0.5593
[GRU] hidden_dim=300, layers=3, dropout=0.0, bi=True -> val_acc=0.7930, val_loss=0.8100
[GRU] hidden_dim=300, layers=3, dropout=0.3, bi=False -> val_acc=0.8094, val_loss=0.5167
[GRU] hidden_dim=300, layers=3, dropout=0.3, bi=True -> val_acc=0.7842, val_loss=0.6718
[GRU] hidden_dim=300, layers=3, dropout=0.5, bi=False -> val_acc=0.8023, val_loss=0.4830
[GRU] hidden_dim=300, layers=3, dropout=0.5, bi=True -> val_acc=0.7853, val_loss=0.5826
[GRU] hidden_dim=300, layers=4, dropout=0.0, bi=False -> val_acc=0.7974, val_loss=0.5127
[GRU] hidden_dim=300, layers=4, dropout=0.0, bi=True -> val_acc=0.7628, val_loss=0.9531
[GRU] hidden_dim=300, layers=4, dropout=0.3, bi=False -> val_acc=0.8100, val_loss=0.4616
[GRU] hidden_dim=300, layers=4, dropout=0.3, bi=True -> val_acc=0.7661, val_loss=0.8156
[GRU] hidden_dim=300, layers=4, dropout=0.5, bi=False -> val_acc=0.8116, val_loss=0.4400
[GRU] hidden_dim=300, layers=4, dropout=0.5, bi=True -> val_acc=0.7617, val_loss=0.6888
[LSTM] hidden_dim=150, layers=2, dropout=0.0, bi=False -> val_acc=0.7748, val_loss=0.5050
[LSTM] hidden_dim=150, layers=2, dropout=0.0, bi=True -> val_acc=0.8078, val_loss=0.5464
[LSTM] hidden_dim=150, layers=2, dropout=0.3, bi=False -> val_acc=0.7864, val_loss=0.4730
[LSTM] hidden_dim=150, layers=2, dropout=0.3, bi=True -> val_acc=0.7957, val_loss=0.5664
[LSTM] hidden_dim=150, layers=2, dropout=0.5, bi=False -> val_acc=0.7864, val_loss=0.4742
[LSTM] hidden_dim=150, layers=2, dropout=0.5, bi=True -> val_acc=0.7957, val_loss=0.5416
[LSTM] hidden_dim=150, layers=3, dropout=0.0, bi=False -> val_acc=0.8029, val_loss=0.4599
[LSTM] hidden_dim=150, layers=3, dropout=0.0, bi=True -> val_acc=0.8051, val_loss=0.5852
[LSTM] hidden_dim=150, layers=3, dropout=0.3, bi=False -> val_acc=0.7990, val_loss=0.4851
[LSTM] hidden_dim=150, layers=3, dropout=0.3, bi=True -> val_acc=0.8029, val_loss=0.5235
[LSTM] hidden_dim=150, layers=3, dropout=0.5, bi=False -> val_acc=0.8045, val_loss=0.4415
[LSTM] hidden_dim=150, layers=3, dropout=0.5, bi=True -> val_acc=0.8018, val_loss=0.5351
[LSTM] hidden_dim=150, layers=4, dropout=0.0, bi=False -> val_acc=0.7738, val_loss=0.5101
[LSTM] hidden_dim=150, layers=4, dropout=0.0, bi=True -> val_acc=0.7908, val_loss=0.5182
[LSTM] hidden_dim=150, layers=4, dropout=0.3, bi=False -> val_acc=0.7754, val_loss=0.4959
[LSTM] hidden_dim=150, layers=4, dropout=0.3, bi=True -> val_acc=0.7985, val_loss=0.5245
[LSTM] hidden_dim=150, layers=4, dropout=0.5, bi=False -> val_acc=0.7902, val_loss=0.4793
[LSTM] hidden_dim=150, layers=4, dropout=0.5, bi=True -> val_acc=0.8045, val_loss=0.4991
[LSTM] hidden_dim=200, layers=2, dropout=0.0, bi=False -> val_acc=0.7880, val_loss=0.5095
[LSTM] hidden_dim=200, layers=2, dropout=0.0, bi=True -> val_acc=0.7930, val_loss=0.5851
[LSTM] hidden_dim=200, layers=2, dropout=0.3, bi=False -> val_acc=0.7880, val_loss=0.4906
[LSTM] hidden_dim=200, layers=2, dropout=0.3, bi=True -> val_acc=0.7908, val_loss=0.6061
[LSTM] hidden_dim=200, layers=2, dropout=0.5, bi=False -> val_acc=0.7897, val_loss=0.4872
[LSTM] hidden_dim=200, layers=2, dropout=0.5, bi=True -> val_acc=0.7935, val_loss=0.5840
[LSTM] hidden_dim=200, layers=3, dropout=0.0, bi=False -> val_acc=0.7836, val_loss=0.4767
[LSTM] hidden_dim=200, layers=3, dropout=0.0, bi=True -> val_acc=0.7952, val_loss=0.6100
[LSTM] hidden_dim=200, layers=3, dropout=0.3, bi=False -> val_acc=0.7847, val_loss=0.4672
[LSTM] hidden_dim=200, layers=3, dropout=0.3, bi=True -> val_acc=0.7886, val_loss=0.5314
[LSTM] hidden_dim=200, layers=3, dropout=0.5, bi=False -> val_acc=0.7831, val_loss=0.4664
[LSTM] hidden_dim=200, layers=3, dropout=0.5, bi=True -> val_acc=0.7913, val_loss=0.5321
[LSTM] hidden_dim=200, layers=4, dropout=0.0, bi=False -> val_acc=0.7990, val_loss=0.5098
[LSTM] hidden_dim=200, layers=4, dropout=0.0, bi=True -> val_acc=0.7946, val_loss=0.5892
[LSTM] hidden_dim=200, layers=4, dropout=0.3, bi=False -> val_acc=0.7935, val_loss=0.5111
[LSTM] hidden_dim=200, layers=4, dropout=0.3, bi=True -> val_acc=0.7847, val_loss=0.5879
[LSTM] hidden_dim=200, layers=4, dropout=0.5, bi=False -> val_acc=0.7847, val_loss=0.4852
[LSTM] hidden_dim=200, layers=4, dropout=0.5, bi=True -> val_acc=0.7781, val_loss=0.5727
[LSTM] hidden_dim=300, layers=2, dropout=0.0, bi=False -> val_acc=0.7770, val_loss=0.5569
[LSTM] hidden_dim=300, layers=2, dropout=0.0, bi=True -> val_acc=0.7924, val_loss=0.5447
[LSTM] hidden_dim=300, layers=2, dropout=0.3, bi=False -> val_acc=0.7781, val_loss=0.5401
[LSTM] hidden_dim=300, layers=2, dropout=0.3, bi=True -> val_acc=0.7831, val_loss=0.5167
[LSTM] hidden_dim=300, layers=2, dropout=0.5, bi=False -> val_acc=0.7798, val_loss=0.5060
[LSTM] hidden_dim=300, layers=2, dropout=0.5, bi=True -> val_acc=0.7820, val_loss=0.5022
[LSTM] hidden_dim=300, layers=3, dropout=0.0, bi=False -> val_acc=0.7952, val_loss=0.5180
[LSTM] hidden_dim=300, layers=3, dropout=0.0, bi=True -> val_acc=0.7798, val_loss=0.6663
[LSTM] hidden_dim=300, layers=3, dropout=0.3, bi=False -> val_acc=0.7864, val_loss=0.4943
[LSTM] hidden_dim=300, layers=3, dropout=0.3, bi=True -> val_acc=0.7831, val_loss=0.6232
[LSTM] hidden_dim=300, layers=3, dropout=0.5, bi=False -> val_acc=0.7941, val_loss=0.4691
[LSTM] hidden_dim=300, layers=3, dropout=0.5, bi=True -> val_acc=0.7716, val_loss=0.6236
[LSTM] hidden_dim=300, layers=4, dropout=0.0, bi=False -> val_acc=0.7935, val_loss=0.5698
[LSTM] hidden_dim=300, layers=4, dropout=0.0, bi=True -> val_acc=0.7897, val_loss=0.6525
[LSTM] hidden_dim=300, layers=4, dropout=0.3, bi=False -> val_acc=0.7946, val_loss=0.5095
[LSTM] hidden_dim=300, layers=4, dropout=0.3, bi=True -> val_acc=0.7930, val_loss=0.6474
[LSTM] hidden_dim=300, layers=4, dropout=0.5, bi=False -> val_acc=0.7924, val_loss=0.4976
[LSTM] hidden_dim=300, layers=4, dropout=0.5, bi=True -> val_acc=0.8001, val_loss=0.5655

=== Top 5 Configurations ===
GRU | h=300 l=4 d=0.5 bi=False -> val_acc=0.8116
GRU | h=300 l=4 d=0.3 bi=False -> val_acc=0.8100
GRU | h=300 l=3 d=0.3 bi=False -> val_acc=0.8094
GRU | h=200 l=3 d=0.0 bi=False -> val_acc=0.8083
LSTM | h=150 l=2 d=0.0 bi=True -> val_acc=0.8078

=== Best Config Re-evaluation (5 runs with different seeds) ===
Seed 100 -> val_acc=0.7595, val_loss=0.5968
Seed 200 -> val_acc=0.7315, val_loss=0.8595
Seed 300 -> val_acc=0.7562, val_loss=0.8481
Seed 400 -> val_acc=0.7946, val_loss=0.5569
Seed 500 -> val_acc=0.8105, val_loss=0.5174

Final mean acc = 0.7705, std = 0.0318
Final mean loss = 0.6757, std = 0.1650
