=== Hyperparameter Optimization Results ===

### RNN Model ###
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=0.25, freeze=True -> val_acc=0.8237, val_loss=0.4548, val_f1=0.8210
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7276, val_loss=0.5485, val_f1=0.7301
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.7419, val_loss=0.5199, val_f1=0.7434
RNN | vocab_min_freq=20, hidden_dim=200, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.6886, val_loss=0.5953, val_f1=0.6694
RNN | vocab_min_freq=20, hidden_dim=200, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.7161, val_loss=0.5731, val_f1=0.7044
RNN | vocab_min_freq=20, hidden_dim=200, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7040, val_loss=0.5842, val_f1=0.6936
RNN | vocab_min_freq=20, hidden_dim=200, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.7128, val_loss=0.5761, val_f1=0.6972
RNN | vocab_min_freq=20, hidden_dim=200, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7068, val_loss=0.5786, val_f1=0.6920
RNN | vocab_min_freq=20, hidden_dim=200, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.7232, val_loss=0.5462, val_f1=0.7178
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.001, clip=0.25, freeze=True -> val_acc=0.7397, val_loss=0.5691, val_f1=0.7516
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.001, clip=0.25, freeze=False -> val_acc=0.7243, val_loss=0.5677, val_f1=0.7019
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.001, clip=1.0, freeze=True -> val_acc=0.7424, val_loss=0.5735, val_f1=0.7496
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.001, clip=1.0, freeze=False -> val_acc=0.7408, val_loss=0.5299, val_f1=0.7392
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.001, clip=5.0, freeze=True -> val_acc=0.7337, val_loss=0.5232, val_f1=0.7340
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.001, clip=5.0, freeze=False -> val_acc=0.7534, val_loss=0.5296, val_f1=0.7537
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7013, val_loss=0.5930, val_f1=0.6634
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.7216, val_loss=0.5529, val_f1=0.6951
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7122, val_loss=0.5742, val_f1=0.6928
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.7298, val_loss=0.5463, val_f1=0.7082
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7254, val_loss=0.5396, val_f1=0.7297
RNN | vocab_min_freq=20, hidden_dim=300, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.7375, val_loss=0.5158, val_f1=0.7339
RNN | vocab_min_freq=20, hidden_dim=300, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.7013, val_loss=0.5693, val_f1=0.7085
RNN | vocab_min_freq=20, hidden_dim=300, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.7205, val_loss=0.5564, val_f1=0.7132
RNN | vocab_min_freq=20, hidden_dim=300, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7057, val_loss=0.5641, val_f1=0.7055
RNN | vocab_min_freq=20, hidden_dim=300, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.7271, val_loss=0.5525, val_f1=0.7155
RNN | vocab_min_freq=20, hidden_dim=300, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7128, val_loss=0.5537, val_f1=0.7122
RNN | vocab_min_freq=20, hidden_dim=300, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.7298, val_loss=0.5394, val_f1=0.7169
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.001, clip=0.25, freeze=True -> val_acc=0.6634, val_loss=0.6154, val_f1=0.7182
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.001, clip=0.25, freeze=False -> val_acc=0.7490, val_loss=0.5446, val_f1=0.7555
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.001, clip=1.0, freeze=True -> val_acc=0.7265, val_loss=0.5384, val_f1=0.7517
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.001, clip=1.0, freeze=False -> val_acc=0.7386, val_loss=0.5465, val_f1=0.7674
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.001, clip=5.0, freeze=True -> val_acc=0.7348, val_loss=0.5256, val_f1=0.7170
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.001, clip=5.0, freeze=False -> val_acc=0.7403, val_loss=0.5290, val_f1=0.7716
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7221, val_loss=0.5573, val_f1=0.7232
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.7452, val_loss=0.5319, val_f1=0.7459
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7282, val_loss=0.5461, val_f1=0.7368
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.7414, val_loss=0.5299, val_f1=0.7411
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7414, val_loss=0.5297, val_f1=0.7576
RNN | vocab_min_freq=20, hidden_dim=400, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.7551, val_loss=0.4965, val_f1=0.7635
RNN | vocab_min_freq=20, hidden_dim=400, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.7188, val_loss=0.5558, val_f1=0.7259
RNN | vocab_min_freq=20, hidden_dim=400, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.7254, val_loss=0.5460, val_f1=0.7216
RNN | vocab_min_freq=20, hidden_dim=400, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7249, val_loss=0.5503, val_f1=0.7389
RNN | vocab_min_freq=20, hidden_dim=400, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.7276, val_loss=0.5383, val_f1=0.7313
RNN | vocab_min_freq=20, hidden_dim=400, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7254, val_loss=0.5445, val_f1=0.7366
RNN | vocab_min_freq=20, hidden_dim=400, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.7430, val_loss=0.5206, val_f1=0.7552
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.001, clip=0.25, freeze=True -> val_acc=0.6826, val_loss=0.6068, val_f1=0.7175
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.001, clip=0.25, freeze=False -> val_acc=0.6864, val_loss=0.6204, val_f1=0.6968
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.001, clip=1.0, freeze=True -> val_acc=0.6842, val_loss=0.6219, val_f1=0.7004
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.001, clip=1.0, freeze=False -> val_acc=0.6798, val_loss=0.6359, val_f1=0.7075
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.001, clip=5.0, freeze=True -> val_acc=0.6557, val_loss=0.6202, val_f1=0.6970
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.001, clip=5.0, freeze=False -> val_acc=0.6875, val_loss=0.5990, val_f1=0.7072
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.6656, val_loss=0.6086, val_f1=0.6891
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.6815, val_loss=0.6012, val_f1=0.6872
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.6628, val_loss=0.6083, val_f1=0.6927
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.6870, val_loss=0.5981, val_f1=0.7013
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.6612, val_loss=0.6094, val_f1=0.6910
RNN | vocab_min_freq=50, hidden_dim=200, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.6881, val_loss=0.5923, val_f1=0.7032
RNN | vocab_min_freq=50, hidden_dim=200, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.6310, val_loss=0.6374, val_f1=0.6903
RNN | vocab_min_freq=50, hidden_dim=200, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.6689, val_loss=0.6152, val_f1=0.6925
RNN | vocab_min_freq=50, hidden_dim=200, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.6370, val_loss=0.6300, val_f1=0.6821
RNN | vocab_min_freq=50, hidden_dim=200, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.6689, val_loss=0.6107, val_f1=0.6818
RNN | vocab_min_freq=50, hidden_dim=200, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.6485, val_loss=0.6265, val_f1=0.6781
RNN | vocab_min_freq=50, hidden_dim=200, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.6711, val_loss=0.6085, val_f1=0.6856
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.001, clip=0.25, freeze=True -> val_acc=0.6727, val_loss=0.6161, val_f1=0.7107
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.001, clip=0.25, freeze=False -> val_acc=0.6925, val_loss=0.5986, val_f1=0.7040
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.001, clip=1.0, freeze=True -> val_acc=0.6057, val_loss=0.6609, val_f1=0.6706
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.001, clip=1.0, freeze=False -> val_acc=0.6568, val_loss=0.6068, val_f1=0.7070
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.001, clip=5.0, freeze=True -> val_acc=0.5453, val_loss=0.6888, val_f1=0.3983
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.001, clip=5.0, freeze=False -> val_acc=0.6848, val_loss=0.5828, val_f1=0.6924
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.6722, val_loss=0.6061, val_f1=0.6905
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.6820, val_loss=0.6000, val_f1=0.7008
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.6700, val_loss=0.6067, val_f1=0.6894
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.6859, val_loss=0.5929, val_f1=0.7021
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.6755, val_loss=0.6002, val_f1=0.6875
RNN | vocab_min_freq=50, hidden_dim=300, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.6831, val_loss=0.5805, val_f1=0.6838
RNN | vocab_min_freq=50, hidden_dim=300, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.6502, val_loss=0.6226, val_f1=0.6383
RNN | vocab_min_freq=50, hidden_dim=300, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.6628, val_loss=0.6093, val_f1=0.6581
RNN | vocab_min_freq=50, hidden_dim=300, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.6568, val_loss=0.6186, val_f1=0.6541
RNN | vocab_min_freq=50, hidden_dim=300, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.6656, val_loss=0.6043, val_f1=0.6652
RNN | vocab_min_freq=50, hidden_dim=300, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.6579, val_loss=0.6142, val_f1=0.6533
RNN | vocab_min_freq=50, hidden_dim=300, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.6782, val_loss=0.5965, val_f1=0.6659
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.001, clip=0.25, freeze=True -> val_acc=0.5788, val_loss=0.7016, val_f1=0.3749
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.001, clip=0.25, freeze=False -> val_acc=0.6897, val_loss=0.6304, val_f1=0.6709
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.001, clip=1.0, freeze=True -> val_acc=0.5991, val_loss=0.6644, val_f1=0.4234
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.001, clip=1.0, freeze=False -> val_acc=0.6277, val_loss=0.6695, val_f1=0.4887
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.001, clip=5.0, freeze=True -> val_acc=0.5914, val_loss=0.6663, val_f1=0.4233
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.001, clip=5.0, freeze=False -> val_acc=0.6897, val_loss=0.5919, val_f1=0.6845
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.6733, val_loss=0.6256, val_f1=0.6396
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.6815, val_loss=0.6351, val_f1=0.6437
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.6760, val_loss=0.6224, val_f1=0.6566
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.6864, val_loss=0.6255, val_f1=0.6583
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.6782, val_loss=0.6060, val_f1=0.6636
RNN | vocab_min_freq=50, hidden_dim=400, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.6980, val_loss=0.5911, val_f1=0.6948
RNN | vocab_min_freq=50, hidden_dim=400, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.6194, val_loss=0.7060, val_f1=0.5046
RNN | vocab_min_freq=50, hidden_dim=400, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.6463, val_loss=0.6601, val_f1=0.5752
RNN | vocab_min_freq=50, hidden_dim=400, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.6496, val_loss=0.6663, val_f1=0.5894
RNN | vocab_min_freq=50, hidden_dim=400, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.6656, val_loss=0.6445, val_f1=0.6177
RNN | vocab_min_freq=50, hidden_dim=400, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.6507, val_loss=0.6400, val_f1=0.6112
RNN | vocab_min_freq=50, hidden_dim=400, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.6672, val_loss=0.6279, val_f1=0.6273

### Baseline Model ###
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=0.25, freeze=True -> val_acc=0.7573, val_loss=0.4926, val_f1=0.7887
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=0.25, freeze=False -> val_acc=0.7990, val_loss=1.2573, val_f1=0.8072
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=1.0, freeze=True -> val_acc=0.7441, val_loss=0.5286, val_f1=0.7829
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=1.0, freeze=False -> val_acc=0.8062, val_loss=0.9712, val_f1=0.8143
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=5.0, freeze=True -> val_acc=0.7342, val_loss=0.5292, val_f1=0.7770
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=5.0, freeze=False -> val_acc=0.7985, val_loss=0.8866, val_f1=0.7944
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7853, val_loss=0.4406, val_f1=0.7928
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.8171, val_loss=0.4066, val_f1=0.8159
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7869, val_loss=0.4436, val_f1=0.7971
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.8215, val_loss=0.3967, val_f1=0.8225
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7781, val_loss=0.4503, val_f1=0.7955
Baseline | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.8193, val_loss=0.3861, val_f1=0.8236
Baseline | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.7820, val_loss=0.4475, val_f1=0.7735
Baseline | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.7985, val_loss=0.4249, val_f1=0.7835
Baseline | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7820, val_loss=0.4428, val_f1=0.7768
Baseline | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.8045, val_loss=0.4153, val_f1=0.7921
Baseline | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7880, val_loss=0.4437, val_f1=0.7886
Baseline | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.8144, val_loss=0.4036, val_f1=0.8088
Baseline | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=0.25, freeze=True -> val_acc=0.7573, val_loss=0.5218, val_f1=0.7752
Baseline | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=0.25, freeze=False -> val_acc=0.7968, val_loss=1.5787, val_f1=0.7790
